time,open,high,low,close
1771316220,24615.5,24622,24615.4,24616.5
1771316280,24617.6,24623.1,24612.5,24617.9
1771316340,24619.5,24628.5,24614.7,24617.3
1771316400,24617.4,24617.4,24607.4,24607.4
1771316460,24607.2,24621.2,24607.2,24620.3
1771316520,24619.3,24627.8,24618.4,24621.7
1771316580,24622.2,24628.6,24618.6,24627.5
1771316640,24627.4,24631.4,24615,24615.3
1771316700,24615.2,24621.4,24607.9,24618.1
1771316760,24618.4,24620.4,24608.8,24610.6
1771316820,24610.3,24618,24607.4,24611.1
1771316880,24611,24613.7,24605.7,24610.7
1771316940,24610.8,24620.3,24609,24617.6
1771317000,24617.5,24620.9,24614.4,24620.9
1771317060,24620.3,24620.9,24610.6,24615.9
1771317120,24616.1,24618.5,24613.1,24613.6
1771317180,24613.8,24615.1,24601.3,24603
1771317240,24602.8,24610.8,24592.2,24594.7
1771317300,24595,24602.3,24589.7,24593.2
1771317360,24592.8,24603.4,24586.5,24598.1
1771317420,24597.7,24598,24586.9,24587.3
1771317480,24587.4,24591.7,24586,24589.6
1771317540,24589.8,24592.1,24581.1,24582.4
1771317600,24582.1,24586.5,24576.4,24584.5
1771317660,24584.6,24585.9,24577.3,24578.5
1771317720,24578.6,24579.6,24567.1,24577.7
1771317780,24577.5,24582.9,24567.7,24569.3
1771317840,24568.9,24576.9,24566.5,24573.5
1771317900,24574.7,24583.5,24570.3,24570.8
1771317960,24571.1,24579.4,24567.5,24572.9
1771318020,24572.2,24575.2,24567.6,24574.8
1771318080,24573.8,24585.4,24573.8,24584.3
1771318140,24584.8,24585.9,24577.4,24580.3
1771318200,24579.8,24583.7,24576.8,24577.8
1771318260,24576.4,24579.5,24568,24573.2
1771318320,24573.5,24575.7,24563.5,24571.5
1771318380,24571.6,24574.2,24562.2,24568.3
1771318440,24568.5,24572.3,24557.9,24567.7
1771318500,24567.6,24570.1,24556,24557.9
1771318560,24557,24568.2,24555.1,24567
1771318620,24566.9,24578.3,24563.9,24567.7
1771318680,24567.9,24579.3,24566.3,24578.3
1771318740,24577.9,24578.8,24569.9,24570.7
1771318800,24570.4,24600.6,24570.4,24600.1
1771318860,24600.3,24605.1,24589.3,24600.6
1771318920,24601.5,24603.4,24584.9,24595
1771318980,24594.9,24602.8,24588.8,24601.2
1771319040,24600.6,24609.7,24600.2,24606.6
1771319100,24606.9,24608.9,24599.4,24600.2
1771319160,24600.5,24605.4,24596.8,24600.2
1771319220,24600.1,24606.1,24584.7,24600.8
1771319280,24600.6,24601.8,24594.9,24595.7
1771319340,24595.6,24598.4,24589.6,24590.9
1771319400,24590.8,24592.5,24580.4,24588
1771319460,24588.1,24594.3,24568.5,24569.5
1771319520,24569.3,24584.4,24566.7,24578.5
1771319580,24577.8,24586.3,24574.4,24584.3
1771319640,24585,24590.1,24574.3,24574.9
1771319700,24575.1,24581.3,24569,24580.3
1771319760,24580.9,24582.8,24568.6,24568.6
1771319820,24567.8,24579.1,24567,24577.9
1771319880,24577.8,24585.4,24577.8,24582.2
1771319940,24582.3,24594,24576,24592.7
1771320000,24592.8,24598.8,24586.3,24588.3
1771320060,24588.5,24593.1,24586.6,24589.9
1771320120,24590.6,24598.9,24587.6,24589.4
1771320180,24589.3,24589.8,24577,24578.8
1771320240,24578.7,24595.7,24578.6,24595.7
1771320300,24596.2,24598.6,24592.3,24596.5
1771320360,24596.4,24597.2,24590.9,24597.2
1771320420,24597.3,24601.3,24592,24596.2
1771320480,24596.3,24601,24593.3,24596.1
1771320540,24595.8,24603.6,24592.4,24602
1771320600,24602.2,24606.7,24597.9,24603.1
1771320660,24603.2,24615.5,24600.6,24612.8
1771320720,24612.6,24615.5,24600.9,24603.5
1771320780,24603.7,24609.7,24603.5,24609.4
1771320840,24609.6,24609.7,24600.1,24603.6
1771320900,24603.5,24620.9,24602.9,24619.9
1771320960,24619.8,24621.1,24614.4,24617.3
1771321020,24617.1,24619.4,24612.8,24616.5
1771321080,24616.7,24624.8,24616.1,24620.1
1771321140,24620.4,24622.2,24614.2,24614.8
1771321200,24615.5,24615.6,24606.9,24609.1
1771321260,24609.2,24615.2,24607.3,24613.6
1771321320,24614,24615.7,24610.6,24611.8
1771321380,24612.1,24616.7,24611.6,24615.6
1771321440,24615.5,24616.3,24611.1,24613.1
1771321500,24613.8,24617.9,24609.8,24609.9
1771321560,24610.2,24620.5,24610.2,24616.5
1771321620,24616.8,24619.4,24611.5,24618.3
